Identifier,Mean_GFP_Intensity,Total_GFP_Intensity
B5_03_005,3453.0560885241825,1388646506
B5_03_006,3490.484672754719,1401227148
B5_03_007,3466.06476127499,1394266143
B5_03_008,3473.192444451075,1396806859
B5_03_009,3480.689733370839,1398259199
B5_03_010,3466.842321586736,1393434868
B5_03_011,3441.086012648335,1386953805
B5_03_012,3433.248895196929,1383643937
B5_03_013,3408.2564714967048,1377075353
B5_03_014,3416.6414286985582,1382154457
B5_03_015,3359.7156824085528,1363218077
B5_03_016,3354.634720730662,1361941441
B5_03_017,3307.182634362014,1343430501
B5_03_018,3308.4055519292583,1343163028
B5_03_019,3267.515191584608,1326980397
B5_03_020,3236.7188446594537,1315373408
B5_03_021,3215.803236839131,1308838349
B5_03_022,3190.4216503227713,1294864531
B5_03_023,3181.0756310139595,1298238319
B5_03_024,3173.4624389476116,1290386950
B5_03_025,3113.3296051458756,1274886680
B5_03_026,3148.342678097031,1284637153
B5_03_027,3114.788519106336,1275661638
B5_03_028,3132.874477018088,1283444687
B5_03_029,3139.0282834049385,1286646886
B5_03_030,3146.925663173138,1290827997
B5_03_031,3120.729728741416,1280120214
B5_03_032,3111.5510851504323,1278999962
B5_03_033,3158.615452511793,1299012191
B5_03_034,3167.0502020949907,1304618825
B5_03_035,3196.6996471236816,1316269850
B5_03_036,3250.769816866161,1340539454
B5_03_037,3311.2014116656055,1367953328
B5_03_038,3398.6592449060063,1404934360
B5_03_039,3479.8060487522184,1441109478
B5_03_040,3546.451094125207,1468010873
B5_03_041,3624.278315140905,1498791303
B5_03_042,3725.9436512809602,1541326014
B5_03_043,3918.5433127997503,1620196185
B5_03_044,4026.1977809879027,1666717043
B5_03_045,4222.7185406744875,1744962428
B5_03_046,4365.6624343596795,1802389930
B5_03_047,4509.7962890771605,1862532338
B5_03_048,4733.223067492377,1957391267
B5_03_049,4956.090783844536,2050483440
B5_03_050,5098.472061368678,2112210301
B5_03_051,5334.317199529203,2211693260
B5_03_052,5571.464963806382,2310564521
B5_03_053,5887.187531764326,2444165986
B5_03_054,6190.299222738795,2576433488
B5_03_055,6502.373058390806,2703029978
B5_03_056,6793.46597853907,2826795161
B5_03_057,7075.505981621962,2948313814
B5_03_058,7362.1818959686225,3080285370
B5_03_059,7659.557235488199,3208328101
B5_03_060,7990.5650104334345,3350643673
B5_03_061,8337.295195472712,3500446737
B6_03_001,1999.6796557701832,807470645
B6_03_002,2029.8373944975199,813118353
B6_03_003,2028.1469961149655,823780578
B6_03_004,2041.3713664247377,824944707
B6_03_005,2047.0140892441545,833814343
B6_03_006,2050.9931257035278,834503981
B6_03_007,2024.1831955008324,823140169
B6_03_008,1973.6439490949722,798374503
B6_03_009,1915.01628674176,773214636
B6_03_010,1881.1825457743068,757313301
B6_03_011,1804.9895126176318,732502649
B6_03_012,1761.67095168469,712065637
B6_03_013,1685.067807271355,683124804
B6_03_014,1685.2086535236463,678288057
B6_03_015,1623.0311726573389,654467844
B6_03_016,1573.857679652762,653405902
B6_03_017,1514.1697269043566,631514768
B6_03_018,1503.0672109292125,629105775
B6_03_019,1473.1262159109092,616825936
B6_03_020,1434.7472347193168,600820491
B6_03_021,1412.8943633618521,589558431
B6_03_022,1379.388966317126,577999841
B6_03_023,1369.9163529883829,573567538
B6_03_024,1360.6445661236494,569548127
B6_03_025,1300.7599359708386,545257753
B6_03_026,1302.9580201010308,545269690
B6_03_027,1288.5607785346467,539499781
B6_03_028,1285.4239312677244,536669633
B6_03_029,1270.7496871028843,529991572
B6_03_030,1256.7936294505957,526229547
B6_03_031,1223.2047437315148,509938156
B6_03_032,1208.4989237047466,506397304
B6_03_033,1201.8022807765856,501528917
B6_03_034,1193.3033748416549,499266199
B6_03_035,1179.6240880374974,492015309
B6_03_036,1168.560767442418,487558609
B6_03_037,1143.404377196258,477664039
